ts_utc,device_id,location_id,spl_db,seq
2026-04-17T14:20:00.000Z,Core2Kit,library-1f,38.2,1
2026-04-17T14:20:01.000Z,Core2Kit,library-1f,40.1,2
2026-04-17T14:20:02.000Z,Core2Kit,library-1f,37.5,3
2026-04-17T14:20:03.000Z,Core2Kit,library-1f,39.0,4
2026-04-17T14:20:04.000Z,Core2Kit,library-1f,41.3,5
2026-04-17T14:20:05.000Z,Core2Kit,library-1f,36.8,6
2026-04-17T14:20:06.000Z,Core2Kit,library-1f,38.9,7
2026-04-17T14:20:07.000Z,Core2Kit,library-1f,42.0,8
2026-04-17T14:20:08.000Z,Core2Kit,library-1f,37.2,9
2026-04-17T14:20:09.000Z,Core2Kit,library-1f,38.5,10
2026-04-17T14:20:10.000Z,Core2Kit,library-1f,39.8,11
2026-04-17T14:20:11.000Z,Core2Kit,library-1f,36.1,12
2026-04-17T14:20:12.000Z,Core2Kit,library-1f,40.5,13
2026-04-17T14:20:13.000Z,Core2Kit,library-1f,38.0,14
2026-04-17T14:20:14.000Z,Core2Kit,library-1f,39.3,15
2026-04-17T14:20:15.000Z,Core2Kit,library-1f,37.7,16
2026-04-17T14:20:16.000Z,Core2Kit,library-1f,41.0,17
2026-04-17T14:20:17.000Z,Core2Kit,library-1f,36.5,18
2026-04-17T14:20:18.000Z,Core2Kit,library-1f,38.7,19
2026-04-17T14:20:19.000Z,Core2Kit,library-1f,39.1,20
2026-04-17T14:20:20.000Z,Core2Kit,library-1f,40.2,21
2026-04-17T14:20:21.000Z,Core2Kit,library-1f,37.4,22
2026-04-17T14:20:22.000Z,Core2Kit,library-1f,38.6,23
2026-04-17T14:20:23.000Z,Core2Kit,library-1f,39.5,24
2026-04-17T14:20:24.000Z,Core2Kit,library-1f,37.9,25
2026-04-17T14:20:25.000Z,Core2Kit,library-1f,36.3,26
2026-04-17T14:20:26.000Z,Core2Kit,library-1f,41.2,27
2026-04-17T14:20:27.000Z,Core2Kit,library-1f,39.4,28
2026-04-17T14:20:28.000Z,Core2Kit,library-1f,38.1,29
2026-04-17T14:20:29.000Z,Core2Kit,library-1f,37.6,30
2026-04-17T14:20:30.000Z,Core2Kit,library-1f,55.2,31
2026-04-17T14:20:31.000Z,Core2Kit,library-1f,58.7,32
2026-04-17T14:20:32.000Z,Core2Kit,library-1f,62.1,33
2026-04-17T14:20:33.000Z,Core2Kit,library-1f,65.4,34
2026-04-17T14:20:34.000Z,Core2Kit,library-1f,68.8,35
2026-04-17T14:20:35.000Z,Core2Kit,library-1f,70.2,36
2026-04-17T14:20:36.000Z,Core2Kit,library-1f,72.5,37
2026-04-17T14:20:37.000Z,Core2Kit,library-1f,74.1,38
2026-04-17T14:20:38.000Z,Core2Kit,library-1f,73.8,39
2026-04-17T14:20:39.000Z,Core2Kit,library-1f,75.6,40
2026-04-17T14:20:40.000Z,Core2Kit,library-1f,77.3,41
2026-04-17T14:20:41.000Z,Core2Kit,library-1f,79.1,42
2026-04-17T14:20:42.000Z,Core2Kit,library-1f,78.5,43
2026-04-17T14:20:43.000Z,Core2Kit,library-1f,80.4,44
2026-04-17T14:20:44.000Z,Core2Kit,library-1f,81.9,45
2026-04-17T14:20:45.000Z,Core2Kit,library-1f,80.7,46
2026-04-17T14:20:46.000Z,Core2Kit,library-1f,83.2,47
2026-04-17T14:20:47.000Z,Core2Kit,library-1f,84.6,48
2026-04-17T14:20:48.000Z,Core2Kit,library-1f,83.9,49
2026-04-17T14:20:49.000Z,Core2Kit,library-1f,85.3,50
2026-04-17T14:20:50.000Z,Core2Kit,library-1f,86.7,51
2026-04-17T14:20:51.000Z,Core2Kit,library-1f,85.1,52
2026-04-17T14:20:52.000Z,Core2Kit,library-1f,87.4,53
2026-04-17T14:20:53.000Z,Core2Kit,library-1f,88.2,54
2026-04-17T14:20:54.000Z,Core2Kit,library-1f,89.5,55
2026-04-17T14:20:55.000Z,Core2Kit,library-1f,87.8,56
2026-04-17T14:20:56.000Z,Core2Kit,library-1f,90.1,57
2026-04-17T14:20:57.000Z,Core2Kit,library-1f,91.3,58
2026-04-17T14:20:58.000Z,Core2Kit,library-1f,90.8,59
2026-04-17T14:20:59.000Z,Core2Kit,library-1f,92.0,60
2026-04-17T14:21:00.000Z,Core2Kit,library-1f,60.5,61
2026-04-17T14:21:01.000Z,Core2Kit,library-1f,56.2,62
2026-04-17T14:21:02.000Z,Core2Kit,library-1f,52.8,63
2026-04-17T14:21:03.000Z,Core2Kit,library-1f,48.5,64
2026-04-17T14:21:04.000Z,Core2Kit,library-1f,45.1,65
2026-04-17T14:21:05.000Z,Core2Kit,library-1f,42.3,66
2026-04-17T14:21:06.000Z,Core2Kit,library-1f,40.0,67
2026-04-17T14:21:07.000Z,Core2Kit,library-1f,38.7,68
2026-04-17T14:21:08.000Z,Core2Kit,library-1f,37.5,69
2026-04-17T14:21:09.000Z,Core2Kit,library-1f,36.8,70
2026-04-17T14:21:10.000Z,Core2Kit,library-1f,38.2,71
2026-04-17T14:21:11.000Z,Core2Kit,library-1f,37.4,72
2026-04-17T14:21:12.000Z,Core2Kit,library-1f,39.1,73
2026-04-17T14:21:13.000Z,Core2Kit,library-1f,36.5,74
2026-04-17T14:21:14.000Z,Core2Kit,library-1f,40.3,75
2026-04-17T14:21:15.000Z,Core2Kit,library-1f,35.8,76
2026-04-17T14:21:16.000Z,Core2Kit,library-1f,38.9,77
2026-04-17T14:21:17.000Z,Core2Kit,library-1f,37.2,78
2026-04-17T14:21:18.000Z,Core2Kit,library-1f,41.5,79
2026-04-17T14:21:19.000Z,Core2Kit,library-1f,36.7,80
2026-04-17T14:21:20.000Z,Core2Kit,library-1f,39.8,81
2026-04-17T14:21:21.000Z,Core2Kit,library-1f,38.0,82
2026-04-17T14:21:22.000Z,Core2Kit,library-1f,37.6,83
2026-04-17T14:21:23.000Z,Core2Kit,library-1f,40.1,84
2026-04-17T14:21:24.000Z,Core2Kit,library-1f,36.2,85
2026-04-17T14:21:25.000Z,Core2Kit,library-1f,38.5,86
2026-04-17T14:21:26.000Z,Core2Kit,library-1f,39.3,87
2026-04-17T14:21:27.000Z,Core2Kit,library-1f,37.8,88
2026-04-17T14:21:28.000Z,Core2Kit,library-1f,41.0,89
2026-04-17T14:21:29.000Z,Core2Kit,library-1f,36.0,90
